Data;IdBuilding;IndividualAddress;GroupAddress;TelegramType;Value;ValueType;Description
2019-02-22 13:07:51.6600000;1;3.1.6;2/2/0;write      ;-32714.98;W;Produzione totale fotovoltaico
2019-02-22 13:07:57.3633333;1;3.1.201;2/0/3;write      ;39.99997;%;C1/0/M102 Umidità
2019-02-22 13:08:42.4633333;1;3.1.201;2/0/3;write      ;37.64703;%;C1/0/M102 Umidità
2019-02-22 13:08:57.4633333;1;3.1.201;2/0/3;write      ;39.99997;%;C1/0/M102 Umidità
2019-02-22 13:09:27.4500000;1;3.1.201;2/0/3;write      ;37.64703;%;C1/0/M102 Umidità
2019-02-22 13:09:37.1633333;1;3.2.202;2/0/0;write      ;380.8;ppm;C1/0/M101 CO2
2019-02-22 13:10:22.7866667;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 13:11:24.3500000;1;3.3.202;2/1/0;write      ;400;ppm;C1/0/U101 C02
2019-02-22 13:11:27.8266667;1;3.3.201;2/1/10;write      ;24.2;C°;C1/0/U105 Temperatura
2019-02-22 13:11:41.1600000;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 13:11:57.6033333;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 13:12:18.8566667;1;3.3.201;2/1/1;write      ;704.64;ppm;C1/0/U105 C02
2019-02-22 13:12:32.5500000;1;3.1.201;2/0/5;write      ;22.62;C°;C1/0/M102 TEMP
2019-02-22 13:13:03.4066667;1;3.3.202;2/1/9;write      ;24.16;C°;C1/0/U101 Temperatura
2019-02-22 13:13:38.6366667;1;3.1.201;2/0/1;write      ;576.96;ppm;C1/0/M102 CO2
2019-02-22 13:13:46.1100000;1;3.2.202;2/0/4;write      ;24.06;C°;C1/0/M101 TEMP
2019-02-22 13:14:58.1800000;1;3.3.201;2/1/10;write      ;24.22;C°;C1/0/U105 Temperatura
2019-02-22 13:16:28.4300000;1;3.3.202;2/1/7;write      ;33.72547;%;C1/0/U101 Umidità
2019-02-22 13:17:23.6566667;1;3.1.201;2/0/1;write      ;681.6;ppm;C1/0/M102 CO2
2019-02-22 13:17:51.2466667;1;3.1.6;2/2/0;write      ;-32747.01;W;Produzione totale fotovoltaico
2019-02-22 13:19:37.0600000;1;3.2.202;2/0/0;write      ;371.84;ppm;C1/0/M101 CO2
2019-02-22 13:20:23.1000000;1;3.3.201;2/1/8;write      ;35.68625;%;C1/0/U105 Umidità
2019-02-22 13:21:24.6966667;1;3.3.202;2/1/0;write      ;592;ppm;C1/0/U101 C02
2019-02-22 13:21:41.0166667;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 13:21:57.6733333;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 13:22:19.0833333;1;3.3.201;2/1/1;write      ;772.48;ppm;C1/0/U105 C02
2019-02-22 13:22:32.7166667;1;3.1.201;2/0/5;write      ;22.66;C°;C1/0/M102 TEMP
2019-02-22 13:23:03.5966667;1;3.3.202;2/1/9;write      ;24.12;C°;C1/0/U101 Temperatura
2019-02-22 13:23:45.9933333;1;3.2.202;2/0/4;write      ;24.08;C°;C1/0/M101 TEMP
2019-02-22 13:24:58.1700000;1;3.3.201;2/1/10;write      ;24.24;C°;C1/0/U105 Temperatura
2019-02-22 13:26:28.7900000;1;3.3.202;2/1/7;write      ;33.72547;%;C1/0/U101 Umidità
2019-02-22 13:27:23.9166667;1;3.1.201;2/0/1;write      ;693.76;ppm;C1/0/M102 CO2
2019-02-22 13:27:50.8400000;1;3.1.6;2/2/0;write      ;-31919.7;W;Produzione totale fotovoltaico
2019-02-22 13:29:37.0066667;1;3.2.202;2/0/0;write      ;379.84;ppm;C1/0/M101 CO2
2019-02-22 13:30:23.4633333;1;3.3.201;2/1/8;write      ;35.68625;%;C1/0/U105 Umidità
2019-02-22 13:31:24.8666667;1;3.3.202;2/1/0;write      ;537.92;ppm;C1/0/U101 C02
2019-02-22 13:31:40.9766667;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 13:31:57.9766667;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 13:32:19.4566667;1;3.3.201;2/1/1;write      ;724.48;ppm;C1/0/U105 C02
2019-02-22 13:32:32.9366667;1;3.1.201;2/0/5;write      ;22.64;C°;C1/0/M102 TEMP
2019-02-22 13:33:03.9200000;1;3.3.202;2/1/9;write      ;24.12;C°;C1/0/U101 Temperatura
2019-02-22 13:33:46.0033333;1;3.2.202;2/0/4;write      ;24.14;C°;C1/0/M101 TEMP
2019-02-22 13:34:58.5133333;1;3.3.201;2/1/10;write      ;24.24;C°;C1/0/U105 Temperatura
2019-02-22 13:36:28.9366667;1;3.3.202;2/1/7;write      ;32.94115;%;C1/0/U101 Umidità
2019-02-22 13:37:23.9900000;1;3.1.201;2/0/1;write      ;658.56;ppm;C1/0/M102 CO2
2019-02-22 13:37:50.4300000;1;3.1.6;2/2/0;write      ;-30950.92;W;Produzione totale fotovoltaico
2019-02-22 13:39:37.0033333;1;3.2.202;2/0/0;write      ;410.88;ppm;C1/0/M101 CO2
2019-02-22 13:40:23.6366667;1;3.3.201;2/1/8;write      ;34.90194;%;C1/0/U105 Umidità
2019-02-22 13:41:25.0166667;1;3.3.202;2/1/0;write      ;502.72;ppm;C1/0/U101 C02
2019-02-22 13:41:41.0066667;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 13:41:58.1400000;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 13:42:19.6800000;1;3.3.201;2/1/1;write      ;666.88;ppm;C1/0/U105 C02
2019-02-22 13:42:33.2066667;1;3.1.201;2/0/5;write      ;22.66;C°;C1/0/M102 TEMP
2019-02-22 13:43:04.1000000;1;3.3.202;2/1/9;write      ;24.16;C°;C1/0/U101 Temperatura
